date,market_cap,volume,trading_value,shares,ticker
2015.12.31,1.29927E+12,3893234,1.6067E+11,32200000,006260
2016.1.31,1.20267E+12,3257638,1.20654E+11,32200000,006260
2016.2.29,1.34918E+12,3059931,1.22201E+11,32200000,006260
2016.3.31,1.44256E+12,4145035,1.83614E+11,32200000,006260
2016.4.30,1.63576E+12,2998563,1.44264E+11,32200000,006260
2016.5.31,1.82896E+12,3326869,1.73646E+11,32200000,006260
2016.6.30,1.80642E+12,2597432,1.47973E+11,32200000,006260
2016.7.31,1.71626E+12,2405167,1.31379E+11,32200000,006260
2016.8.31,2.02538E+12,3188010,1.84608E+11,32200000,006260
2016.9.30,1.87404E+12,2159296,1.30259E+11,32200000,006260
2016.10.31,1.76778E+12,1765064,1.01425E+11,32200000,006260
2016.11.30,1.96098E+12,3404461,2.01391E+11,32200000,006260
2016.12.31,1.90946E+12,2015090,1.25903E+11,32200000,006260
2017.1.31,2.01572E+12,1804047,1.12038E+11,32200000,006260
2017.2.28,2.18316E+12,1920768,1.28974E+11,32200000,006260
2017.3.31,2.06724E+12,2623944,1.6783E+11,32200000,006260
2017.4.30,2.09944E+12,1448434,94243183400,32200000,006260
2017.5.31,2.3667E+12,2093626,1.49719E+11,32200000,006260
2017.6.30,2.34738E+12,2158007,1.5751E+11,32200000,006260
2017.7.31,2.71124E+12,2054816,1.63423E+11,32200000,006260
2017.8.31,2.7209E+12,1949514,1.65991E+11,32200000,006260
2017.9.30,2.53736E+12,1597207,1.29575E+11,32200000,006260
2017.10.31,2.5438E+12,1430297,1.15559E+11,32200000,006260
2017.11.30,2.14774E+12,2727327,1.96863E+11,32200000,006260
2017.12.31,2.3345E+12,2691974,1.86368E+11,32200000,006260
2018.1.31,2.5438E+12,3150431,2.46098E+11,32200000,006260
2018.2.28,2.4472E+12,1962381,1.49168E+11,32200000,006260
2018.3.31,2.3989E+12,2056825,1.54979E+11,32200000,006260
2018.4.30,2.50838E+12,2983596,2.14526E+11,32200000,006260
2018.5.31,2.7531E+12,3007861,2.5449E+11,32200000,006260
2018.6.30,2.415E+12,2095586,1.68298E+11,32200000,006260
2018.7.31,2.415E+12,1721403,1.25231E+11,32200000,006260
2018.8.31,2.16384E+12,1414496,97989274600,32200000,006260
2018.9.30,2.2057E+12,1694643,1.17218E+11,32200000,006260
2018.10.31,1.6261E+12,2599845,1.4928E+11,32200000,006260
2018.11.30,1.7066E+12,2355353,1.27722E+11,32200000,006260
2018.12.31,1.58102E+12,1856593,97487150150,32200000,006260
2019.1.31,1.84506E+12,2299204,1.22931E+11,32200000,006260
2019.2.28,1.9481E+12,2370180,1.36159E+11,32200000,006260
2019.3.31,1.68406E+12,1764341,97175898400,32200000,006260
2019.4.30,1.59551E+12,1694381,88724393500,32200000,006260
2019.5.31,1.47798E+12,2116905,97580412900,32200000,006260
